Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"1 of 294 (0.34%)"|117|Webgains|webgains|"Updated -  Inserted,  Failed."|
"2 of 294 (0.68%)"|270|"Wall Luxury Essentials"|webgains|"Updated -  Inserted,  Failed."|
"3 of 294 (1.02%)"|212|Tightsplease|webgains|"Updated -  Inserted,  Failed."|
"4 of 294 (1.36%)"|327|Brastop|webgains|"Updated - 2484 Inserted,  Failed."|
"5 of 294 (1.70%)"|347|feelunique.com|webgains|"Updated - 12707 Inserted,  Failed."|
"6 of 294 (2.04%)"|437|Surfdome|webgains|"Updated - 27948 Inserted,  Failed."|
"7 of 294 (2.38%)"|8533|Gossard|webgains|"Updated - 3340 Inserted,  Failed."|
"8 of 294 (2.72%)"|8535|"Pretty Polly "|webgains|"Updated - 997 Inserted,  Failed."|
"9 of 294 (3.06%)"|1130|"YesStyle UK"|webgains|"Updated - 208042 Inserted,  Failed."|
"10 of 294 (3.40%)"|1408|"Me + Em"|webgains|"Updated -  Inserted,  Failed."|
"11 of 294 (3.74%)"|8537|Berlei|webgains|"Updated - 1995 Inserted,  Failed."|
"12 of 294 (4.08%)"|2756|"feelunique.com IE"|webgains|"Updated - 7705 Inserted,  Failed."|
"13 of 294 (4.42%)"|2365|Trilogy|webgains|"Updated - 551 Inserted,  Failed."|
"14 of 294 (4.76%)"|2690|"Chesca Direct"|webgains|"Updated - 931 Inserted,  Failed."|
"15 of 294 (5.10%)"|2707|SalonSkincare|webgains|"Updated - 4111 Inserted,  Failed."|
"16 of 294 (5.44%)"|2951|"Mastershoe & Myshu"|webgains|"Updated - 2070 Inserted,  Failed."|
"17 of 294 (5.78%)"|3154|"Just Last Season"|awin|"Updated - 1317 Inserted,  Failed."|
"18 of 294 (6.12%)"|4087|Bouf.com|webgains|"Updated - 19793 Inserted,  Failed."|
"19 of 294 (6.46%)"|6373|"NIKE UK"|webgains|"Updated - 7692 Inserted,  Failed."|
"20 of 294 (6.80%)"|4042|"The Fragrance Shop"|webgains|"Updated - 2225 Inserted,  Failed."|
"21 of 294 (7.14%)"|3780|"Daniel Footwear"|webgains|"Updated - 2403 Inserted,  Failed."|
"22 of 294 (7.48%)"|3949|Fashion-Conscience|webgains|"Updated - 1493 Inserted,  Failed."|
"23 of 294 (7.82%)"|4125|"Jules B"|webgains|"Updated - 2815 Inserted,  Failed."|
