Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"1 of 290 (0.34%)"|117|Webgains|webgains|"Updated -  Inserted,  Failed."|
"2 of 290 (0.69%)"|270|"Wall Luxury Essentials"|webgains|"Updated -  Inserted,  Failed."|
"3 of 290 (1.03%)"|212|Tightsplease|webgains|"Updated -  Inserted,  Failed."|
"4 of 290 (1.38%)"|327|Brastop|webgains|"Updated -  Inserted, 2484 Failed."|
"5 of 290 (1.72%)"|347|feelunique.com|webgains|"Updated - 3 Inserted, 10766 Failed."|
"6 of 290 (2.07%)"|8533|Gossard|webgains|"Updated -  Inserted, 3420 Failed."|
"7 of 290 (2.41%)"|8535|"Pretty Polly "|webgains|"Updated -  Inserted, 1053 Failed."|
"8 of 290 (2.76%)"|1130|"YesStyle UK"|webgains|"Updated - 2012 Inserted, 123606 Failed."|
"9 of 290 (3.10%)"|1408|"Me + Em"|webgains|"Updated -  Inserted,  Failed."|
"10 of 290 (3.45%)"|8537|Berlei|webgains|"Updated -  Inserted, 1995 Failed."|
"11 of 290 (3.79%)"|2756|"feelunique.com IE"|webgains|"Updated - 1 Inserted, 7391 Failed."|
"12 of 290 (4.14%)"|2365|Trilogy|webgains|"Updated - 1 Inserted, 590 Failed."|
"13 of 290 (4.48%)"|2690|"Chesca Direct"|webgains|"Updated -  Inserted, 979 Failed."|
"14 of 290 (4.83%)"|2707|SalonSkincare|webgains|"Updated - 2 Inserted, 4061 Failed."|
"15 of 290 (5.17%)"|2951|"Mastershoe & Myshu"|webgains|"Updated - 1 Inserted, 2084 Failed."|
"16 of 290 (5.52%)"|3154|"Just Last Season"|awin|"Updated - 218 Inserted,  Failed."|
"17 of 290 (5.86%)"|4087|Bouf.com|webgains|"Updated - 18 Inserted, 19960 Failed."|
"18 of 290 (6.21%)"|6373|"NIKE UK"|webgains|"Updated - 71 Inserted, 7721 Failed."|
"19 of 290 (6.55%)"|4042|"The Fragrance Shop"|webgains|"Updated -  Inserted, 2225 Failed."|
"20 of 290 (6.90%)"|3780|"Daniel Footwear"|webgains|"Updated - 20 Inserted, 2499 Failed."|
"21 of 290 (7.24%)"|3949|Fashion-Conscience|webgains|"Updated -  Inserted, 1493 Failed."|
"22 of 290 (7.59%)"|4125|"Jules B"|webgains|"Updated - 10 Inserted, 2968 Failed."|
"23 of 290 (7.93%)"|4128|"Charles Clinkard"|webgains|"Updated - 20 Inserted, 3117 Failed."|
