Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"1 of 276 (0.36%)"|117|Webgains|webgains|"Updated -  Inserted,  Failed."|
"2 of 276 (0.72%)"|270|"Wall Luxury Essentials"|webgains|"Updated -  Inserted,  Failed."|
"3 of 276 (1.09%)"|212|Tightsplease|webgains|"Updated -  Inserted,  Failed."|
"4 of 276 (1.45%)"|327|Brastop|webgains|"Updated - 2484 Inserted,  Failed."|
"5 of 276 (1.81%)"|347|feelunique.com|webgains|"Updated - 11870 Inserted,  Failed."|
"6 of 276 (2.17%)"|8533|Gossard|webgains|"Updated - 4405 Inserted,  Failed."|
"7 of 276 (2.54%)"|8535|"Pretty Polly "|webgains|"Updated - 1082 Inserted,  Failed."|
"8 of 276 (2.90%)"|1408|"Me + Em"|webgains|"Updated - 828 Inserted,  Failed."|
"9 of 276 (3.26%)"|8537|Berlei|webgains|"Updated - 2581 Inserted,  Failed."|
"10 of 276 (3.62%)"|2756|"feelunique.com IE"|webgains|"Updated - 7174 Inserted,  Failed."|
"11 of 276 (3.99%)"|2365|Trilogy|webgains|"Updated - 338 Inserted,  Failed."|
"12 of 276 (4.35%)"|2690|"Chesca Direct"|webgains|"Updated - 1006 Inserted,  Failed."|
"13 of 276 (4.71%)"|2951|"Mastershoe & Myshu"|webgains|"Updated - 1942 Inserted,  Failed."|
"14 of 276 (5.07%)"|3154|"Pilot Clothing"|webgains|"Updated - 2788 Inserted,  Failed."|
"15 of 276 (5.43%)"|4087|Bouf.com|webgains|"Updated - 18553 Inserted,  Failed."|
"16 of 276 (5.80%)"|6373|"NIKE UK"|webgains|"Updated - 7360 Inserted,  Failed."|
"17 of 276 (6.16%)"|4042|"The Fragrance Shop"|webgains|"Updated - 2339 Inserted,  Failed."|
"18 of 276 (6.52%)"|3780|"Daniel Footwear"|webgains|"Updated - 2166 Inserted,  Failed."|
"19 of 276 (6.88%)"|3949|Fashion-Conscience|webgains|"Updated - 1493 Inserted,  Failed."|
"20 of 276 (7.25%)"|4125|"Jules B"|webgains|"Updated - 2551 Inserted,  Failed."|
"21 of 276 (7.61%)"|4128|"Charles Clinkard"|webgains|"Updated - 3171 Inserted,  Failed."|
"22 of 276 (7.97%)"|4113|Triads|webgains|"Updated - 2038 Inserted,  Failed."|
"23 of 276 (8.33%)"|5250|"Milanoo UK"|webgains|"Updated - 33943 Inserted,  Failed."|
"24 of 276 (8.70%)"|4948|Yumi|webgains|"Updated - 855 Inserted,  Failed."|
"25 of 276 (9.06%)"|5151|Psyche|webgains|"Updated - 4272 Inserted,  Failed."|
"26 of 276 (9.42%)"|5528|"Joy The Store"|webgains|"Updated - 3640 Inserted,  Failed."|
"27 of 276 (9.78%)"|5556|"Damsel In A Dress"|webgains|"Updated - 409 Inserted,  Failed."|
"28 of 276 (10.14%)"|5565|"Ecco UK"|webgains|"Updated - 655 Inserted,  Failed."|
