Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"1 of 57 (1.75%)"|117|Webgains|webgains|"Updated -  Inserted,  Failed."|
"2 of 57 (3.51%)"|270|"Wall Luxury Essentials"|webgains|"Updated -  Inserted,  Failed."|
"3 of 57 (5.26%)"|212|Tightsplease|webgains|"Updated -  Inserted,  Failed."|
"4 of 57 (7.02%)"|327|Brastop|webgains|"Updated - 2484 Inserted,  Failed."|
"5 of 57 (8.77%)"|347|feelunique.com|webgains|"Updated - 13794 Inserted,  Failed."|
"6 of 57 (10.53%)"|437|Surfdome|webgains|"Updated - 24634 Inserted,  Failed."|
"7 of 57 (12.28%)"|8533|Gossard|webgains|"Updated - 2944 Inserted,  Failed."|
"8 of 57 (14.04%)"|8535|"Pretty Polly "|webgains|"Updated - 1385 Inserted,  Failed."|
"9 of 57 (15.79%)"|1130|"YesStyle UK"|webgains|"Updated - 180938 Inserted,  Failed."|
"10 of 57 (17.54%)"|1408|"Me + Em"|webgains|"Updated - 190 Inserted,  Failed."|
"11 of 57 (19.30%)"|8537|Berlei|webgains|"Updated - 1970 Inserted,  Failed."|
"12 of 57 (21.05%)"|2756|"feelunique.com IE"|webgains|"Updated - 9623 Inserted,  Failed."|
"13 of 57 (22.81%)"|2365|Trilogy|webgains|"Updated - 397 Inserted,  Failed."|
"14 of 57 (24.56%)"|2690|"Chesca Direct"|webgains|"Updated - 790 Inserted,  Failed."|
"15 of 57 (26.32%)"|2707|SalonSkincare|webgains|"Updated - 3622 Inserted,  Failed."|
"16 of 57 (28.07%)"|2951|"Mastershoe & Myshu"|webgains|"Updated - 2128 Inserted,  Failed."|
"17 of 57 (29.82%)"|3154|"Pilot Clothing"|webgains|"Updated - 4263 Inserted,  Failed."|
"18 of 57 (31.58%)"|4087|Bouf.com|webgains|"Updated - 19602 Inserted,  Failed."|
"19 of 57 (33.33%)"|6373|"NIKE UK"|webgains|"Updated - 6884 Inserted,  Failed."|
"20 of 57 (35.09%)"|4042|"The Fragrance Shop"|webgains|"Updated - 2086 Inserted,  Failed."|
"21 of 57 (36.84%)"|3780|"Daniel Footwear"|webgains|"Updated - 2165 Inserted,  Failed."|
"22 of 57 (38.60%)"|3949|Fashion-Conscience|webgains|"Updated - 1493 Inserted,  Failed."|
"23 of 57 (40.35%)"|4125|"Jules B"|webgains|"Updated - 2887 Inserted,  Failed."|
"24 of 57 (42.11%)"|4128|"Charles Clinkard"|webgains|"Updated - 2829 Inserted,  Failed."|
