Number,"Merchant ID","Merchant Name",Affiliate,Status
"71 of 230 (30.87%)",1946,"New Look",awin,Updated
"72 of 230 (31.30%)",5672,"Next (UK)",awin,Updated
"73 of 230 (31.74%)",5362,"Nip &amp; Fab",awin,Updated
"74 of 230 (32.17%)",2374,"Office Shoes",awin,Updated
"75 of 230 (32.61%)",1688,Orchira,awin,Updated
"76 of 230 (33.04%)",5842,"Organic Surge",awin,Updated
"77 of 230 (33.48%)",2753,"Pai Skincare",awin,Updated
"78 of 230 (33.91%)",2692,"Phase Eight",awin,Updated
"79 of 230 (34.35%)",2291,Planet,awin,Updated
"80 of 230 (34.78%)",2292,"Precis Petite",awin,Updated
"81 of 230 (35.22%)",4251,"QP Jewellers",awin,Updated
"82 of 230 (35.65%)",3744,"Rock My Vintage Ltd",awin,Failed
"83 of 230 (36.09%)",2780,Sarenza,awin,Updated
"84 of 230 (36.52%)",2044,Schuh,awin,Updated
"85 of 230 (36.96%)",3539,Selfridges,awin,Updated
"86 of 230 (37.39%)",3027,"Simply Be",awin,Updated
"87 of 230 (37.83%)",1295,"Simply Beach",awin,Failed
"88 of 230 (38.26%)",1294,"Simply Swim",awin,Failed
"89 of 230 (38.70%)",2749,SmartBuyGlasses,awin,Updated
"90 of 230 (39.13%)",2638,Spartoo.co.uk,awin,Updated
"91 of 230 (39.57%)",3180,"Sunglasses Shop",awin,Updated
"92 of 230 (40.00%)",2026,Superdrug,awin,Updated
"93 of 230 (40.43%)",2530,"Swarovski Crystal",awin,Updated
"94 of 230 (40.87%)",4322,Swimwear365,awin,Updated
"95 of 230 (41.30%)",2525,"Ted Baker",awin,Updated
"96 of 230 (41.74%)",2547,"The Hut",awin,Updated
"97 of 230 (42.17%)",4277,"The Jewel Hut",awin,Updated
"98 of 230 (42.61%)",4802,"The White Company",awin,Updated
"99 of 230 (43.04%)",1752,"TM Lewin",awin,Updated
"100 of 230 (43.48%)",3662,"Tommy Hilfiger UK",awin,Updated
"101 of 230 (43.91%)",6009,Topshop,awin,Updated
"102 of 230 (44.35%)",3482,"Triumph Online Shop",awin,Updated
"103 of 230 (44.78%)",3186,"UK Tights",awin,Updated
"104 of 230 (45.22%)",6227,Vanmildert,awin,Failed
"105 of 230 (45.65%)",6279,"Very Exclusive",awin,Failed
"106 of 230 (46.09%)",5735,"Vitamin Planet",awin,Updated
"107 of 230 (46.52%)",3247,Wahanda,awin,Updated
"108 of 230 (46.96%)",2419,Wallis,awin,Updated
"109 of 230 (47.39%)",2290,Windsmoor,awin,Updated
"110 of 230 (47.83%)",2685,"Wolford Online Boutique",awin,Updated
"111 of 230 (48.26%)",790,Woolovers,awin,Updated
"112 of 230 (48.70%)",4992,"Woolovers (US)",awin,Updated
"113 of 230 (49.13%)",3356,"Zalando SE",awin,Failed
"114 of 230 (49.57%)",25044,"Links of London UK",linkshare,Updated
"115 of 230 (50.00%)",24423,"Firenze Seta SRL / Forzie",linkshare,Updated
"116 of 230 (50.43%)",36756,Masdings,linkshare,Updated
"117 of 230 (50.87%)",36372,"The Jewellery Channel",linkshare,Updated
"118 of 230 (51.30%)",36334,"Ralph Lauren UK",linkshare,Failed
"119 of 230 (51.74%)",24797,"Karen Millen Fashions Ltd",linkshare,Updated
"120 of 230 (52.17%)",36580,Boticca.com,linkshare,Updated
"121 of 230 (52.61%)",35563,"Stylebop (UK)",linkshare,Updated
"122 of 230 (53.04%)",36363,"Eve Lom",linkshare,Failed
"123 of 230 (53.48%)",36997,"Izabel London",linkshare,Updated
"124 of 230 (53.91%)",35199,Kickers,linkshare,Failed
"125 of 230 (54.35%)",39593,"Pandora Jewellery UK Ltd",linkshare,Failed
"126 of 230 (54.78%)",35205,"Sweaty Betty",linkshare,Updated
"127 of 230 (55.22%)",36973,"Molton Brown",linkshare,Updated
"128 of 230 (55.65%)",35713,"Anna Scholz",linkshare,Updated
"129 of 230 (56.09%)",35663,MyTheresa,linkshare,Updated
"130 of 230 (56.52%)",37257,"Anthropologie (UK)",linkshare,Updated
"131 of 230 (56.96%)",35664,Jigsaw,linkshare,Updated
"132 of 230 (57.39%)",38511,Navabi,linkshare,Updated
"133 of 230 (57.83%)",35725,Matchesfashion.com,linkshare,Updated
"134 of 230 (58.26%)",37323,"FitFlop Ltd",linkshare,Failed
"135 of 230 (58.70%)",37547,"Fever London",linkshare,Updated
"136 of 230 (59.13%)",36373,"Warehouse Fashions Ltd",linkshare,Updated
"137 of 230 (59.57%)",36666,Harrods,linkshare,Updated
"138 of 230 (60.00%)",36057,Mango,linkshare,Updated
"139 of 230 (60.43%)",24274,"LinkShare UK Referral Pro",linkshare,Failed
"140 of 230 (60.87%)",39513,"English Abode",linkshare,Failed
"141 of 230 (61.30%)",37567,"The Body Shop",linkshare,Updated
"142 of 230 (61.74%)",36976,Aftershock,linkshare,Updated
"143 of 230 (62.17%)",35703,"Radley (UK)",linkshare,Updated
"144 of 230 (62.61%)",40087,"Box 2 Ltd",linkshare,Failed
"145 of 230 (63.04%)",38401,ASPIGA,linkshare,Failed
"146 of 230 (63.48%)",37777,"Atterley Road",linkshare,Updated
"147 of 230 (63.91%)",35814,"Amanda Wakeley",linkshare,Updated
"148 of 230 (64.35%)",24990,"French Connection UK",linkshare,Updated
"149 of 230 (64.78%)",38095,"MiH Jeans",linkshare,Updated
"150 of 230 (65.22%)",24302,"Charles Tyrwhitt LLP (UK)",linkshare,Updated
"151 of 230 (65.65%)",24862,"Benefit Cosmetics (UK)",linkshare,Updated
"152 of 230 (66.09%)",36731,Question-air,linkshare,Updated
"153 of 230 (66.52%)",38489,Nuxe,linkshare,Failed
"154 of 230 (66.96%)",39379,"Ernest Jones",linkshare,Failed
"155 of 230 (67.39%)",35151,"Isabella Oliver (UK)",linkshare,Updated
"156 of 230 (67.83%)",39261,LOVEHATS.COM,linkshare,Updated
"157 of 230 (68.26%)",35491,"The Jaeger Companys Shops",linkshare,Updated
"158 of 230 (68.70%)",38021,"Luisa Via Roma (UK)",linkshare,Updated
"159 of 230 (69.13%)",38009,"Vestiaire Collective",linkshare,Updated
"160 of 230 (69.57%)",39127,"Gorgeous Shop",linkshare,Updated
"161 of 230 (70.00%)",37335,Clarins,linkshare,Failed
"162 of 230 (70.43%)",36985,Knomo,linkshare,Failed
"163 of 230 (70.87%)",39794,"Geox (UK)",linkshare,Updated
"164 of 230 (71.30%)",35653,"Farfetch UK",linkshare,Updated
"165 of 230 (71.74%)",24789,"Coast Fashions Limited",linkshare,Failed
"166 of 230 (72.17%)",36598,"John Smedley",linkshare,Updated
"167 of 230 (72.61%)",36027,Notonthehighstreet.com,linkshare,Updated
"168 of 230 (73.04%)",38529,"Vince Camuto UK",linkshare,Failed
"169 of 230 (73.48%)",36168,Monsoon,linkshare,Updated
"170 of 230 (73.91%)",38297,"Lane Crawford",linkshare,Updated
"171 of 230 (74.35%)",39482,"Leia Lingerie",linkshare,Updated
"172 of 230 (74.78%)",39380,HSamuel,linkshare,Updated
"173 of 230 (75.22%)",36374,EAST,linkshare,Failed
"174 of 230 (75.65%)",24346,"Avon (UK)",linkshare,Updated
"175 of 230 (76.09%)",36301,"Girl Meets Dress",linkshare,Updated
"176 of 230 (76.52%)",38555,Wellicious,linkshare,Updated
"177 of 230 (76.96%)",37336,"Expressions Des Bijoux Li",linkshare,Updated
"178 of 230 (77.39%)",24794,Whistles,linkshare,Failed
"179 of 230 (77.83%)",35998,"Lulu Guinness (UK)",linkshare,Updated
"180 of 230 (78.26%)",37884,Viyella,linkshare,Failed
"181 of 230 (78.70%)",24993,"Great Plains",linkshare,Updated
"182 of 230 (79.13%)",36621,"Long Tall Sally",linkshare,Updated
"183 of 230 (79.57%)",38734,"TOMS (UK)",linkshare,Updated
"184 of 230 (80.00%)",38003,Penhaligon's,linkshare,Updated
"185 of 230 (80.43%)",36286,"Boutique 1",linkshare,Updated
"186 of 230 (80.87%)",37885,"CC Fashion",linkshare,Updated
"187 of 230 (81.30%)",35269,"Cult Beauty, Ltd.",linkshare,Updated
"188 of 230 (81.74%)",36767,"Macys UK",linkshare,Updated
"189 of 230 (82.17%)",38701,BIRCHBOX,linkshare,Updated
"190 of 230 (82.61%)",36350,Dune,linkshare,Updated
"191 of 230 (83.04%)",35605,"Quiz Clothing",linkshare,Updated
"192 of 230 (83.48%)",37195,"Liz Earle Beauty Co Ltd",linkshare,Updated
"193 of 230 (83.91%)",36944,"Nine West UK",linkshare,Updated
"194 of 230 (84.35%)",24791,"Elemis UK",linkshare,Updated
"195 of 230 (84.78%)",37260,Proskins,linkshare,Failed
"196 of 230 (85.22%)",40203,"Charlotte Tilbury",linkshare,Updated
"197 of 230 (85.65%)",36467,"Reiss UK",linkshare,Updated
"198 of 230 (86.09%)",35262,"DHC (UK)",linkshare,Failed
"199 of 230 (86.52%)",36362,"Space NK",linkshare,Updated
