Number,"Merchant ID","Merchant Name",Affiliate,Status
"1 of 230 (0.43%)",2396,"Adini Online",awin,Updated
"2 of 230 (0.87%)",911,allbeauty.com,awin,Updated
"3 of 230 (1.30%)",3660,Allsole,awin,Updated
"4 of 230 (1.74%)",3469,"Ample Bosom",awin,Updated
"5 of 230 (2.17%)",6024,Ariella,awin,Updated
"6 of 230 (2.61%)",5921,Artigiano,awin,Updated
"7 of 230 (3.04%)",5678,ASOS,awin,Updated
"8 of 230 (3.48%)",1433,"Astley Clarke",awin,Updated
"9 of 230 (3.91%)",5931,"ATG Tickets",awin,Updated
"10 of 230 (4.35%)",3334,"AX Paris",awin,Updated
"11 of 230 (4.78%)",3423,Baukjen,awin,Updated
"12 of 230 (5.22%)",1184,"Beauty Bay",awin,Updated
"13 of 230 (5.65%)",1831,Bhs,awin,Updated
"14 of 230 (6.09%)",1669,Boden,awin,Updated
"15 of 230 (6.52%)",3128,bonprix,awin,Updated
"16 of 230 (6.96%)",2041,Boots.com,awin,Updated
"17 of 230 (7.39%)",3454,"Boux Avenue",awin,Updated
"18 of 230 (7.83%)",2810,"Bras &amp; Honey",awin,Updated
"19 of 230 (8.26%)",3772,Bravissimo,awin,Updated
"20 of 230 (8.70%)",273,Buyagift.co.uk,awin,Updated
"21 of 230 (9.13%)",2102,"Chemist Direct",awin,Updated
"22 of 230 (9.57%)",2515,Clarks,awin,Updated
"23 of 230 (10.00%)",2805,Coast,awin,Updated
"24 of 230 (10.43%)",4318,Coggles,awin,Updated
"25 of 230 (10.87%)",2367,"Crabtree &amp; Evelyn",awin,Updated
"26 of 230 (11.30%)",3109,Crocs,awin,Updated
"27 of 230 (11.74%)",3540,CRUISE,awin,Updated
"28 of 230 (12.17%)",3403,Curvissa,awin,Updated
"29 of 230 (12.61%)",5653,"Diamond Style",awin,Updated
"30 of 230 (13.04%)",1134,"Dorothy Perkins",awin,Updated
"31 of 230 (13.48%)",6157,Elizabetharden,awin,Failed
"32 of 230 (13.91%)",3819,Elvi,awin,Updated
"33 of 230 (14.35%)",1423,"Evans Clothing",awin,Updated
"34 of 230 (14.78%)",1625,"F.Hinds Jewellers",awin,Updated
"35 of 230 (15.22%)",3030,"Fashion World",awin,Updated
"36 of 230 (15.65%)",3805,Flannels,awin,Updated
"37 of 230 (16.09%)",5715,"Fragrance Expert Limited",awin,Updated
"38 of 230 (16.52%)",6153,"Gerry Weber",awin,Failed
"39 of 230 (16.96%)",2894,Goddiva,awin,Updated
"40 of 230 (17.39%)",2174,Goldsmiths,awin,Updated
"41 of 230 (17.83%)",1837,"Holland &amp; Barrett",awin,Failed
"42 of 230 (18.26%)",3100,"House of Fraser",awin,Updated
"43 of 230 (18.70%)",3767,"Hugo Boss",awin,Updated
"44 of 230 (19.13%)",1206,"Hush Homewear",awin,Updated
"45 of 230 (19.57%)",1202,Iwantoneofthose.com,awin,Updated
"46 of 230 (20.00%)",2289,"Jacques Vert",awin,Updated
"47 of 230 (20.43%)",5566,"John Greed Jewellery",awin,Updated
"48 of 230 (20.87%)",1203,"John Lewis",awin,Updated
"49 of 230 (21.30%)",713,"Jones Bootmaker.com",awin,Updated
"50 of 230 (21.74%)",1283,Joules,awin,Updated
"51 of 230 (22.17%)",3154,"Just Last Season",awin,Updated
"52 of 230 (22.61%)",5120,Kaliko,awin,Updated
"53 of 230 (23.04%)",1008,Kiniki,awin,Failed
"54 of 230 (23.48%)",2246,"L.K. Bennett",awin,Updated
"55 of 230 (23.91%)",1496,"La Redoute",awin,Updated
"56 of 230 (24.35%)",2364,"Laura Ashley",awin,Updated
"57 of 230 (24.78%)",6334,"Little Black Dress",awin,Failed
"58 of 230 (25.22%)",2453,Lloydspharmacy,awin,Updated
"59 of 230 (25.65%)",2082,lookfantastic.com,awin,Updated
"60 of 230 (26.09%)",1685,M&amp;Co,awin,Updated
"61 of 230 (26.52%)",3029,Marisota,awin,Updated
"62 of 230 (26.96%)",1402,"Marks and Spencer",awin,Updated
"63 of 230 (27.39%)",3680,"Max Studio",awin,Updated
"64 of 230 (27.83%)",2527,"Moda in Pelle",awin,Failed
"65 of 230 (28.26%)",5030,Muubaa,awin,Failed
"66 of 230 (28.70%)",3604,Mybag.com,awin,Updated
"67 of 230 (29.13%)",3196,Myprotein,awin,Updated
"68 of 230 (29.57%)",30,MyTights,awin,Updated
"69 of 230 (30.00%)",4454,myvitamins.com,awin,Updated
"70 of 230 (30.43%)",3169,"Neals Yard Remedies",awin,Updated
