Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"1 of 8 (12.50%)"|11456|"Tesco Wine"|tradedoubler|"Updated - 1448 Inserted, 0 Failed."|
"2 of 8 (25.00%)"|14995|"Tesco Direct (fuse pump)"|tradedoubler|"Updated - 30412 Inserted, 0 Failed."|
"3 of 8 (37.50%)"|16789|"Madeleine Fashion Ltd."|tradedoubler|"Updated - 5742 Inserted, 0 Failed."|
"4 of 8 (50.00%)"|18871|"Intimissimi UK PF"|tradedoubler|"Updated - 484 Inserted, 0 Failed."|
"5 of 8 (62.50%)"|14808|"Tesco Branded Pay Monthly"|tradedoubler|"Updated - 80 Inserted, 0 Failed."|
"6 of 8 (75.00%)"|19176|"Tesco Mobile Own Network"|tradedoubler|"Updated - 543 Inserted, 0 Failed."|
"7 of 8 (87.50%)"|11530|"Tesco Clothing"|tradedoubler|"Updated - 36234 Inserted, 0 Failed."|
"8 of 8 (100.00%)"|21900|"Tesco Grocery"|tradedoubler|"Updated - 32948 Inserted, 0 Failed."|
