Number,"Merchant ID","Merchant Name",Affiliate,Status
"42 of 231 (18.18%)",1837,"Holland &amp; Barrett",awin,Failed
"43 of 231 (18.61%)",3100,"House of Fraser",awin,Updated
"44 of 231 (19.05%)",3767,"Hugo Boss",awin,Updated
"45 of 231 (19.48%)",1206,"Hush Homewear",awin,Updated
"46 of 231 (19.91%)",1202,Iwantoneofthose.com,awin,Updated
"47 of 231 (20.35%)",2289,"Jacques Vert",awin,Updated
"48 of 231 (20.78%)",5566,"John Greed Jewellery",awin,Updated
"49 of 231 (21.21%)",1203,"John Lewis",awin,Updated
"50 of 231 (21.65%)",713,"Jones Bootmaker.com",awin,Updated
"51 of 231 (22.08%)",1283,Joules,awin,Updated
"52 of 231 (22.51%)",3154,"Just Last Season",awin,Updated
"53 of 231 (22.94%)",5120,Kaliko,awin,Updated
"54 of 231 (23.38%)",1008,Kiniki,awin,Failed
"55 of 231 (23.81%)",2246,"L.K. Bennett",awin,Updated
"56 of 231 (24.24%)",1496,"La Redoute",awin,Updated
"57 of 231 (24.68%)",2364,"Laura Ashley",awin,Updated
"58 of 231 (25.11%)",6334,"Little Black Dress",awin,Failed
"59 of 231 (25.54%)",2453,Lloydspharmacy,awin,Updated
"60 of 231 (25.97%)",2082,lookfantastic.com,awin,Updated
"61 of 231 (26.41%)",1685,M&amp;Co,awin,Updated
"62 of 231 (26.84%)",3029,Marisota,awin,Updated
"63 of 231 (27.27%)",1402,"Marks and Spencer",awin,Updated
"64 of 231 (27.71%)",3680,"Max Studio",awin,Updated
"65 of 231 (28.14%)",2527,"Moda in Pelle",awin,Failed
"66 of 231 (28.57%)",5030,Muubaa,awin,Failed
"67 of 231 (29.00%)",3604,Mybag.com,awin,Updated
"68 of 231 (29.44%)",3196,Myprotein,awin,Updated
"69 of 231 (29.87%)",30,MyTights,awin,Updated
"70 of 231 (30.30%)",4454,myvitamins.com,awin,Updated
"71 of 231 (30.74%)",3169,"Neals Yard Remedies",awin,Updated
"72 of 231 (31.17%)",1946,"New Look",awin,Updated
"73 of 231 (31.60%)",5672,"Next (UK)",awin,Updated
"74 of 231 (32.03%)",5362,"Nip &amp; Fab",awin,Updated
"75 of 231 (32.47%)",2374,"Office Shoes",awin,Updated
"76 of 231 (32.90%)",1688,Orchira,awin,Updated
"77 of 231 (33.33%)",5842,"Organic Surge",awin,Updated
"78 of 231 (33.77%)",2753,"Pai Skincare",awin,Updated
"79 of 231 (34.20%)",2692,"Phase Eight",awin,Updated
"80 of 231 (34.63%)",2291,Planet,awin,Updated
"81 of 231 (35.06%)",2292,"Precis Petite",awin,Updated
"82 of 231 (35.50%)",4251,"QP Jewellers",awin,Updated
"83 of 231 (35.93%)",3744,"Rock My Vintage Ltd",awin,Failed
"84 of 231 (36.36%)",2780,Sarenza,awin,Updated
"85 of 231 (36.80%)",2044,Schuh,awin,Updated
"86 of 231 (37.23%)",3539,Selfridges,awin,Updated
"87 of 231 (37.66%)",3027,"Simply Be",awin,Updated
"88 of 231 (38.10%)",1295,"Simply Beach",awin,Failed
"89 of 231 (38.53%)",1294,"Simply Swim",awin,Failed
"90 of 231 (38.96%)",2749,SmartBuyGlasses,awin,Updated
"91 of 231 (39.39%)",2638,Spartoo.co.uk,awin,Updated
"92 of 231 (39.83%)",3180,"Sunglasses Shop",awin,Updated
"93 of 231 (40.26%)",2026,Superdrug,awin,Updated
"94 of 231 (40.69%)",2530,"Swarovski Crystal",awin,Updated
"95 of 231 (41.13%)",4322,Swimwear365,awin,Updated
"96 of 231 (41.56%)",2525,"Ted Baker",awin,Updated
"97 of 231 (41.99%)",2547,"The Hut",awin,Updated
"98 of 231 (42.42%)",4277,"The Jewel Hut",awin,Updated
"99 of 231 (42.86%)",4802,"The White Company",awin,Updated
"100 of 231 (43.29%)",1752,"TM Lewin",awin,Updated
"101 of 231 (43.72%)",3662,"Tommy Hilfiger UK",awin,Updated
"102 of 231 (44.16%)",6009,Topshop,awin,Updated
"103 of 231 (44.59%)",3482,"Triumph Online Shop",awin,Updated
"104 of 231 (45.02%)",3186,"UK Tights",awin,Updated
"105 of 231 (45.45%)",6227,Vanmildert,awin,Failed
"106 of 231 (45.89%)",6279,"Very Exclusive",awin,Failed
"107 of 231 (46.32%)",5735,"Vitamin Planet",awin,Updated
"108 of 231 (46.75%)",3247,Wahanda,awin,Updated
"109 of 231 (47.19%)",2419,Wallis,awin,Updated
"110 of 231 (47.62%)",2290,Windsmoor,awin,Updated
"111 of 231 (48.05%)",2685,"Wolford Online Boutique",awin,Updated
"112 of 231 (48.48%)",790,Woolovers,awin,Updated
"113 of 231 (48.92%)",4992,"Woolovers (US)",awin,Updated
"114 of 231 (49.35%)",3356,"Zalando SE",awin,Failed
"115 of 231 (49.78%)",25044,"Links of London UK",linkshare,Updated
"116 of 231 (50.22%)",24423,"Firenze Seta SRL / Forzie",linkshare,Updated
"117 of 231 (50.65%)",36756,Masdings,linkshare,Updated
"118 of 231 (51.08%)",36372,"The Jewellery Channel",linkshare,Updated
"119 of 231 (51.52%)",36334,"Ralph Lauren UK",linkshare,Failed
"120 of 231 (51.95%)",24797,"Karen Millen Fashions Ltd",linkshare,Updated
"121 of 231 (52.38%)",36580,Boticca.com,linkshare,Updated
"122 of 231 (52.81%)",35563,"Stylebop (UK)",linkshare,Updated
"123 of 231 (53.25%)",36363,"Eve Lom",linkshare,Failed
"124 of 231 (53.68%)",36997,"Izabel London",linkshare,Updated
"125 of 231 (54.11%)",35199,Kickers,linkshare,Failed
"126 of 231 (54.55%)",39593,"Pandora Jewellery UK Ltd",linkshare,Failed
"127 of 231 (54.98%)",35205,"Sweaty Betty",linkshare,Updated
"128 of 231 (55.41%)",36973,"Molton Brown",linkshare,Updated
"129 of 231 (55.84%)",35713,"Anna Scholz",linkshare,Updated
"130 of 231 (56.28%)",35663,MyTheresa,linkshare,Updated
"131 of 231 (56.71%)",37257,"Anthropologie (UK)",linkshare,Updated
"132 of 231 (57.14%)",35664,Jigsaw,linkshare,Updated
"133 of 231 (57.58%)",38511,Navabi,linkshare,Updated
"134 of 231 (58.01%)",35725,Matchesfashion.com,linkshare,Updated
"135 of 231 (58.44%)",37323,"FitFlop Ltd",linkshare,Failed
"136 of 231 (58.87%)",37547,"Fever London",linkshare,Updated
"137 of 231 (59.31%)",36373,"Warehouse Fashions Ltd",linkshare,Updated
"138 of 231 (59.74%)",36666,Harrods,linkshare,Updated
"139 of 231 (60.17%)",36057,Mango,linkshare,Updated
"140 of 231 (60.61%)",24274,"LinkShare UK Referral Pro",linkshare,Failed
"141 of 231 (61.04%)",39513,"English Abode",linkshare,Failed
"142 of 231 (61.47%)",37567,"The Body Shop",linkshare,Updated
"143 of 231 (61.90%)",36976,Aftershock,linkshare,Updated
"144 of 231 (62.34%)",35703,"Radley (UK)",linkshare,Updated
"145 of 231 (62.77%)",40087,"Box 2 Ltd",linkshare,Failed
"146 of 231 (63.20%)",38401,ASPIGA,linkshare,Failed
"147 of 231 (63.64%)",37777,"Atterley Road",linkshare,Updated
"148 of 231 (64.07%)",35814,"Amanda Wakeley",linkshare,Updated
"149 of 231 (64.50%)",24990,"French Connection UK",linkshare,Updated
"150 of 231 (64.94%)",38095,"MiH Jeans",linkshare,Updated
"151 of 231 (65.37%)",24302,"Charles Tyrwhitt LLP (UK)",linkshare,Updated
"152 of 231 (65.80%)",24862,"Benefit Cosmetics (UK)",linkshare,Updated
"153 of 231 (66.23%)",36731,Question-air,linkshare,Updated
"154 of 231 (66.67%)",38489,Nuxe,linkshare,Failed
"155 of 231 (67.10%)",39379,"Ernest Jones",linkshare,Failed
"156 of 231 (67.53%)",35151,"Isabella Oliver (UK)",linkshare,Updated
"157 of 231 (67.97%)",39261,LOVEHATS.COM,linkshare,Updated
"158 of 231 (68.40%)",35491,"The Jaeger Companys Shops",linkshare,Updated
"159 of 231 (68.83%)",38021,"Luisa Via Roma (UK)",linkshare,Updated
"160 of 231 (69.26%)",38009,"Vestiaire Collective",linkshare,Updated
"161 of 231 (69.70%)",39127,"Gorgeous Shop",linkshare,Updated
"162 of 231 (70.13%)",37335,Clarins,linkshare,Failed
"163 of 231 (70.56%)",39794,"Geox (UK)",linkshare,Updated
"164 of 231 (71.00%)",35653,"Farfetch UK",linkshare,Updated
"165 of 231 (71.43%)",36985,Knomo,linkshare,Failed
"166 of 231 (71.86%)",24789,"Coast Fashions Limited",linkshare,Failed
"167 of 231 (72.29%)",36598,"John Smedley",linkshare,Updated
"168 of 231 (72.73%)",36027,Notonthehighstreet.com,linkshare,Updated
"169 of 231 (73.16%)",38529,"Vince Camuto UK",linkshare,Failed
"170 of 231 (73.59%)",36168,Monsoon,linkshare,Updated
"171 of 231 (74.03%)",38297,"Lane Crawford",linkshare,Updated
"172 of 231 (74.46%)",39482,"Leia Lingerie",linkshare,Updated
"173 of 231 (74.89%)",39380,HSamuel,linkshare,Updated
"174 of 231 (75.32%)",36374,EAST,linkshare,Failed
"175 of 231 (75.76%)",24346,"Avon (UK)",linkshare,Updated
"176 of 231 (76.19%)",36301,"Girl Meets Dress",linkshare,Updated
"177 of 231 (76.62%)",38555,Wellicious,linkshare,Updated
"178 of 231 (77.06%)",37336,"Expressions Des Bijoux Li",linkshare,Updated
"179 of 231 (77.49%)",24794,Whistles,linkshare,Failed
"180 of 231 (77.92%)",35998,"Lulu Guinness (UK)",linkshare,Updated
"181 of 231 (78.35%)",24993,"Great Plains",linkshare,Updated
"182 of 231 (78.79%)",36621,"Long Tall Sally",linkshare,Updated
"183 of 231 (79.22%)",38734,"TOMS (UK)",linkshare,Updated
"184 of 231 (79.65%)",37884,Viyella,linkshare,Failed
"185 of 231 (80.09%)",38003,Penhaligon's,linkshare,Updated
"186 of 231 (80.52%)",36286,"Boutique 1",linkshare,Updated
"187 of 231 (80.95%)",37885,"CC Fashion",linkshare,Updated
"188 of 231 (81.39%)",35269,"Cult Beauty, Ltd.",linkshare,Updated
"189 of 231 (81.82%)",36767,"Macys UK",linkshare,Updated
"190 of 231 (82.25%)",38701,BIRCHBOX,linkshare,Updated
"191 of 231 (82.68%)",36350,Dune,linkshare,Updated
"192 of 231 (83.12%)",35605,"Quiz Clothing",linkshare,Updated
"193 of 231 (83.55%)",37195,"Liz Earle Beauty Co Ltd",linkshare,Updated
"194 of 231 (83.98%)",36944,"Nine West UK",linkshare,Updated
"195 of 231 (84.42%)",24791,"Elemis UK",linkshare,Updated
"196 of 231 (84.85%)",37260,Proskins,linkshare,Failed
"197 of 231 (85.28%)",40203,"Charlotte Tilbury",linkshare,Updated
"198 of 231 (85.71%)",36467,"Reiss UK",linkshare,Updated
"199 of 231 (86.15%)",35262,"DHC (UK)",linkshare,Failed
"200 of 231 (86.58%)",36362,"Space NK",linkshare,Updated
"201 of 231 (87.01%)",39850,Rakuten.co.uk,linkshare,Updated
"202 of 231 (87.45%)",38595,"Hobbs Ltd",linkshare,Updated
"203 of 231 (87.88%)",36813,"SAM SRL Tessabit Store",linkshare,Updated
"204 of 231 (88.31%)",38267,"Monica Vinader",linkshare,Failed
"205 of 231 (88.74%)",39528,"Paul Smith Ltd",linkshare,Updated
"206 of 231 (89.18%)",38657,"Peruvian Connection LLC",linkshare,Failed
"207 of 231 (89.61%)",36933,"Kurt Geiger Ltd",linkshare,Updated
"208 of 231 (90.04%)",36338,Accessorize,linkshare,Updated
"209 of 231 (90.48%)",37091,"Lily Lolo",linkshare,Updated
"210 of 231 (90.91%)",36089,"Bliss (UK)",linkshare,Failed
"211 of 231 (91.34%)",24724,UNIQLO,linkshare,Updated
"212 of 231 (91.77%)",39036,Baukjen-UK,linkshare,Updated
"213 of 231 (92.21%)",36757,"Folli Follie UK",linkshare,Updated
"214 of 231 (92.64%)",38573,"31 Dover",linkshare,Updated
"215 of 231 (93.07%)",37410,"Saks Fifth Avenue - UK",linkshare,Updated
"216 of 231 (93.51%)",37206,"Bloomingdales UK",linkshare,Updated
"217 of 231 (93.94%)",37883,"Austin Reed (UK)",linkshare,Failed
"218 of 231 (94.37%)",36154,"FragranceNet.com (UK)",linkshare,Updated
"219 of 231 (94.81%)",35854,"Toast Mail Order Ltd",linkshare,Updated
"220 of 231 (95.24%)",38311,"Stuart Weitzman",linkshare,Updated
"221 of 231 (95.67%)",39618,"Milli Millu",linkshare,Updated
"222 of 231 (96.10%)",35118,"Browns Fashion",linkshare,Updated
"223 of 231 (96.54%)",36267,Aveda,linkshare,Updated
"224 of 231 (96.97%)",24359,"L'Occitane UK",linkshare,Updated
"225 of 231 (97.40%)",36192,"Heidi Klein",linkshare,Updated
"226 of 231 (97.84%)",38432,"River Island",linkshare,Updated
"227 of 231 (98.27%)",35731,Black.co.uk,linkshare,Updated
"228 of 231 (98.70%)",36943,"The Dressing Room Retail",linkshare,Updated
"229 of 231 (99.13%)",37024,"Cotton Traders",linkshare,Updated
"230 of 231 (99.57%)",37401,Clinique,linkshare,Updated
"231 of 231 (100.00%)",35667,"Astley Clarke Ltd",linkshare,Failed
