"Number", "Merchant ID", "Merchant Name", "Affiliate", "Status"
"47 of 231 (20.35%)", "39127", "Gorgeous Shop", "linkshare", "Updated"
"48 of 231 (20.78%)", "37335", "Clarins", "linkshare", "Failed"
"49 of 231 (21.21%)", "39794", "Geox (UK)", "linkshare", "Updated"
"50 of 231 (21.65%)", "35653", "Farfetch UK", "linkshare", "Updated"
"51 of 231 (22.08%)", "36985", "Knomo", "linkshare", "Failed"
"52 of 231 (22.51%)", "24789", "Coast Fashions Limited", "linkshare", "Failed"
"53 of 231 (22.94%)", "36598", "John Smedley", "linkshare", "Updated"
"54 of 231 (23.38%)", "36027", "Notonthehighstreet.com", "linkshare", "Updated"
"55 of 231 (23.81%)", "38529", "Vince Camuto UK", "linkshare", "Failed"
"56 of 231 (24.24%)", "36168", "Monsoon", "linkshare", "Updated"
"57 of 231 (24.68%)", "38297", "Lane Crawford", "linkshare", "Updated"
"58 of 231 (25.11%)", "39482", "Leia Lingerie", "linkshare", "Updated"
"59 of 231 (25.54%)", "36374", "EAST", "linkshare", "Failed"
"60 of 231 (25.97%)", "24346", "Avon (UK)", "linkshare", "Updated"
"61 of 231 (26.41%)", "36301", "Girl Meets Dress", "linkshare", "Updated"
"62 of 231 (26.84%)", "39380", "HSamuel", "linkshare", "Updated"
"63 of 231 (27.27%)", "38555", "Wellicious", "linkshare", "Updated"
"64 of 231 (27.71%)", "37336", "Expressions Des Bijoux Li", "linkshare", "Updated"
"65 of 231 (28.14%)", "24794", "Whistles", "linkshare", "Failed"
"66 of 231 (28.57%)", "35998", "Lulu Guinness (UK)", "linkshare", "Updated"
"67 of 231 (29.00%)", "24993", "Great Plains", "linkshare", "Updated"
"68 of 231 (29.44%)", "36621", "Long Tall Sally", "linkshare", "Updated"
"69 of 231 (29.87%)", "38734", "TOMS (UK)", "linkshare", "Updated"
"70 of 231 (30.30%)", "37884", "Viyella", "linkshare", "Failed"
"71 of 231 (30.74%)", "38003", "Penhaligon's", "linkshare", "Updated"
"72 of 231 (31.17%)", "36286", "Boutique 1", "linkshare", "Updated"
"73 of 231 (31.60%)", "37885", "CC Fashion", "linkshare", "Updated"
"74 of 231 (32.03%)", "35269", "Cult Beauty, Ltd.", "linkshare", "Updated"
"75 of 231 (32.47%)", "36767", "Macys UK", "linkshare", "Updated"
"76 of 231 (32.90%)", "38701", "BIRCHBOX", "linkshare", "Updated"
"77 of 231 (33.33%)", "36350", "Dune", "linkshare", "Updated"
"78 of 231 (33.77%)", "35605", "Quiz Clothing", "linkshare", "Updated"
"79 of 231 (34.20%)", "37195", "Liz Earle Beauty Co Ltd", "linkshare", "Updated"
"80 of 231 (34.63%)", "36944", "Nine West UK", "linkshare", "Updated"
"81 of 231 (35.06%)", "24791", "Elemis UK", "linkshare", "Updated"
"82 of 231 (35.50%)", "37260", "Proskins", "linkshare", "Failed"
"83 of 231 (35.93%)", "40203", "Charlotte Tilbury", "linkshare", "Updated"
"84 of 231 (36.36%)", "35262", "DHC (UK)", "linkshare", "Failed"
"85 of 231 (36.80%)", "36467", "Reiss UK", "linkshare", "Updated"
"86 of 231 (37.23%)", "36362", "Space NK", "linkshare", "Updated"
"87 of 231 (37.66%)", "39850", "Rakuten.co.uk", "linkshare", "Updated"
"88 of 231 (38.10%)", "38595", "Hobbs Ltd", "linkshare", "Updated"
"89 of 231 (38.53%)", "36813", "SAM SRL Tessabit Store", "linkshare", "Updated"
"90 of 231 (38.96%)", "38267", "Monica Vinader", "linkshare", "Failed"
"91 of 231 (39.39%)", "39528", "Paul Smith Ltd", "linkshare", "Updated"
"92 of 231 (39.83%)", "38657", "Peruvian Connection LLC", "linkshare", "Failed"
"93 of 231 (40.26%)", "36933", "Kurt Geiger Ltd", "linkshare", "Updated"
"94 of 231 (40.69%)", "36338", "Accessorize", "linkshare", "Updated"
"95 of 231 (41.13%)", "37091", "Lily Lolo", "linkshare", "Updated"
"96 of 231 (41.56%)", "36089", "Bliss (UK)", "linkshare", "Failed"
"97 of 231 (41.99%)", "24724", "UNIQLO", "linkshare", "Updated"
"98 of 231 (42.42%)", "39036", "Baukjen-UK", "linkshare", "Updated"
"99 of 231 (42.86%)", "36757", "Folli Follie UK", "linkshare", "Updated"
"100 of 231 (43.29%)", "38573", "31 Dover", "linkshare", "Updated"
"101 of 231 (43.72%)", "37410", "Saks Fifth Avenue - UK", "linkshare", "Updated"
"102 of 231 (44.16%)", "37206", "Bloomingdales UK", "linkshare", "Updated"
"103 of 231 (44.59%)", "37883", "Austin Reed (UK)", "linkshare", "Failed"
"104 of 231 (45.02%)", "36154", "FragranceNet.com (UK)", "linkshare", "Updated"
"105 of 231 (45.45%)", "35854", "Toast Mail Order Ltd", "linkshare", "Updated"
"106 of 231 (45.89%)", "38311", "Stuart Weitzman", "linkshare", "Updated"
"107 of 231 (46.32%)", "36632", "Marks and Spencer", "linkshare", "Failed"
"108 of 231 (46.75%)", "39618", "Milli Millu", "linkshare", "Updated"
"109 of 231 (47.19%)", "35118", "Browns Fashion", "linkshare", "Updated"
"110 of 231 (47.62%)", "36267", "Aveda", "linkshare", "Updated"
"111 of 231 (48.05%)", "24359", "L'Occitane UK", "linkshare", "Updated"
"112 of 231 (48.48%)", "36192", "Heidi Klein", "linkshare", "Updated"
"113 of 231 (48.92%)", "38432", "River Island", "linkshare", "Updated"
"114 of 231 (49.35%)", "35731", "Black.co.uk", "linkshare", "Updated"
"115 of 231 (49.78%)", "36943", "The Dressing Room Retail", "linkshare", "Updated"
"116 of 231 (50.22%)", "37024", "Cotton Traders", "linkshare", "Updated"
"117 of 231 (50.65%)", "37401", "Clinique", "linkshare", "Updated"
"118 of 231 (51.08%)", "35667", "Astley Clarke Ltd", "linkshare", "Failed"
"119 of 231 (51.52%)", "2396", "Adini Online", "awin", "Updated"
"120 of 231 (51.95%)", "911", "allbeauty.com", "awin", "Updated"
"121 of 231 (52.38%)", "3660", "Allsole", "awin", "Updated"
"122 of 231 (52.81%)", "3469", "Ample Bosom", "awin", "Updated"
"123 of 231 (53.25%)", "6024", "Ariella", "awin", "Updated"
"124 of 231 (53.68%)", "5921", "Artigiano", "awin", "Updated"
"125 of 231 (54.11%)", "5678", "ASOS", "awin", "Updated"
"126 of 231 (54.55%)", "1433", "Astley Clarke", "awin", "Updated"
"127 of 231 (54.98%)", "5931", "ATG Tickets", "awin", "Updated"
"128 of 231 (55.41%)", "3334", "AX Paris", "awin", "Updated"
"129 of 231 (55.84%)", "3423", "Baukjen", "awin", "Updated"
"130 of 231 (56.28%)", "1184", "Beauty Bay", "awin", "Updated"
"131 of 231 (56.71%)", "1831", "Bhs", "awin", "Updated"
"132 of 231 (57.14%)", "1669", "Boden", "awin", "Updated"
"133 of 231 (57.58%)", "3128", "bonprix", "awin", "Updated"
"134 of 231 (58.01%)", "2041", "Boots.com", "awin", "Updated"
"135 of 231 (58.44%)", "3454", "Boux Avenue", "awin", "Updated"
"136 of 231 (58.87%)", "2810", "Bras &amp; Honey", "awin", "Updated"
"137 of 231 (59.31%)", "3772", "Bravissimo", "awin", "Updated"
"138 of 231 (59.74%)", "273", "Buyagift.co.uk", "awin", "Updated"
"139 of 231 (60.17%)", "2102", "Chemist Direct", "awin", "Updated"
"140 of 231 (60.61%)", "2515", "Clarks", "awin", "Updated"
"141 of 231 (61.04%)", "2805", "Coast", "awin", "Updated"
"142 of 231 (61.47%)", "4318", "Coggles", "awin", "Updated"
"143 of 231 (61.90%)", "2367", "Crabtree &amp; Evelyn", "awin", "Updated"
"144 of 231 (62.34%)", "3109", "Crocs", "awin", "Updated"
"145 of 231 (62.77%)", "3540", "CRUISE", "awin", "Updated"
"146 of 231 (63.20%)", "3403", "Curvissa", "awin", "Updated"
"147 of 231 (63.64%)", "5653", "Diamond Style", "awin", "Updated"
"148 of 231 (64.07%)", "1134", "Dorothy Perkins", "awin", "Updated"
"149 of 231 (64.50%)", "6157", "Elizabetharden", "awin", "Failed"
"150 of 231 (64.94%)", "3819", "Elvi", "awin", "Updated"
"151 of 231 (65.37%)", "1423", "Evans Clothing", "awin", "Updated"
"152 of 231 (65.80%)", "1625", "F.Hinds Jewellers", "awin", "Updated"
"153 of 231 (66.23%)", "3030", "Fashion World", "awin", "Updated"
"154 of 231 (66.67%)", "3805", "Flannels", "awin", "Updated"
"155 of 231 (67.10%)", "5715", "Fragrance Expert Limited", "awin", "Updated"
"156 of 231 (67.53%)", "6153", "Gerry Weber", "awin", "Failed"
"157 of 231 (67.97%)", "2894", "Goddiva", "awin", "Updated"
"158 of 231 (68.40%)", "2174", "Goldsmiths", "awin", "Updated"
"159 of 231 (68.83%)", "1837", "Holland &amp; Barrett", "awin", "Failed"
"160 of 231 (69.26%)", "3100", "House of Fraser", "awin", "Updated"
"161 of 231 (69.70%)", "3767", "Hugo Boss", "awin", "Updated"
"162 of 231 (70.13%)", "1206", "Hush Homewear", "awin", "Updated"
"163 of 231 (70.56%)", "1202", "Iwantoneofthose.com", "awin", "Updated"
"164 of 231 (71.00%)", "2289", "Jacques Vert", "awin", "Updated"
"165 of 231 (71.43%)", "5566", "John Greed Jewellery", "awin", "Updated"
"166 of 231 (71.86%)", "1203", "John Lewis", "awin", "Updated"
"167 of 231 (72.29%)", "713", "Jones Bootmaker.com", "awin", "Updated"
"168 of 231 (72.73%)", "1283", "Joules", "awin", "Updated"
"169 of 231 (73.16%)", "3154", "Just Last Season", "awin", "Updated"
"170 of 231 (73.59%)", "5120", "Kaliko", "awin", "Updated"
"171 of 231 (74.03%)", "1008", "Kiniki", "awin", "Failed"
"172 of 231 (74.46%)", "2246", "L.K. Bennett", "awin", "Updated"
"173 of 231 (74.89%)", "1496", "La Redoute", "awin", "Updated"
"174 of 231 (75.32%)", "2364", "Laura Ashley", "awin", "Updated"
"175 of 231 (75.76%)", "6334", "Little Black Dress", "awin", "Failed"
"176 of 231 (76.19%)", "2453", "Lloydspharmacy", "awin", "Updated"
"177 of 231 (76.62%)", "2082", "lookfantastic.com", "awin", "Updated"
"178 of 231 (77.06%)", "1685", "M&amp;Co", "awin", "Updated"
"179 of 231 (77.49%)", "3029", "Marisota", "awin", "Updated"
"180 of 231 (77.92%)", "1402", "Marks and Spencer", "awin", "Updated"
"181 of 231 (78.35%)", "3680", "Max Studio", "awin", "Updated"
"182 of 231 (78.79%)", "2527", "Moda in Pelle", "awin", "Failed"
"183 of 231 (79.22%)", "5030", "Muubaa", "awin", "Failed"
"184 of 231 (79.65%)", "3604", "Mybag.com", "awin", "Updated"
"185 of 231 (80.09%)", "3196", "Myprotein", "awin", "Updated"
"186 of 231 (80.52%)", "30", "MyTights", "awin", "Updated"
"187 of 231 (80.95%)", "4454", "myvitamins.com", "awin", "Updated"
"188 of 231 (81.39%)", "3169", "Neals Yard Remedies", "awin", "Updated"
"189 of 231 (81.82%)", "1946", "New Look", "awin", "Updated"
"190 of 231 (82.25%)", "5672", "Next (UK)", "awin", "Updated"
"191 of 231 (82.68%)", "5362", "Nip &amp; Fab", "awin", "Updated"
"192 of 231 (83.12%)", "2374", "Office Shoes", "awin", "Updated"
"193 of 231 (83.55%)", "1688", "Orchira", "awin", "Updated"
"194 of 231 (83.98%)", "5842", "Organic Surge", "awin", "Updated"
"195 of 231 (84.42%)", "2753", "Pai Skincare", "awin", "Updated"
"196 of 231 (84.85%)", "2692", "Phase Eight", "awin", "Updated"
"197 of 231 (85.28%)", "2291", "Planet", "awin", "Updated"
"198 of 231 (85.71%)", "2292", "Precis Petite", "awin", "Updated"
"199 of 231 (86.15%)", "4251", "QP Jewellers", "awin", "Updated"
"200 of 231 (86.58%)", "3744", "Rock My Vintage Ltd", "awin", "Failed"
"201 of 231 (87.01%)", "2780", "Sarenza", "awin", "Updated"
"202 of 231 (87.45%)", "2044", "Schuh", "awin", "Updated"
"203 of 231 (87.88%)", "3539", "Selfridges", "awin", "Updated"
"204 of 231 (88.31%)", "3027", "Simply Be", "awin", "Updated"
"205 of 231 (88.74%)", "1295", "Simply Beach", "awin", "Failed"
"206 of 231 (89.18%)", "1294", "Simply Swim", "awin", "Failed"
"207 of 231 (89.61%)", "2749", "SmartBuyGlasses", "awin", "Updated"
"208 of 231 (90.04%)", "2638", "Spartoo.co.uk", "awin", "Updated"
"209 of 231 (90.48%)", "3180", "Sunglasses Shop", "awin", "Updated"
"210 of 231 (90.91%)", "2026", "Superdrug", "awin", "Updated"
"211 of 231 (91.34%)", "2530", "Swarovski Crystal", "awin", "Updated"
"212 of 231 (91.77%)", "4322", "Swimwear365", "awin", "Updated"
"213 of 231 (92.21%)", "2525", "Ted Baker", "awin", "Updated"
"214 of 231 (92.64%)", "2547", "The Hut", "awin", "Updated"
"215 of 231 (93.07%)", "4277", "The Jewel Hut", "awin", "Updated"
"216 of 231 (93.51%)", "4802", "The White Company", "awin", "Updated"
"217 of 231 (93.94%)", "1752", "TM Lewin", "awin", "Updated"
"218 of 231 (94.37%)", "3662", "Tommy Hilfiger UK", "awin", "Updated"
"219 of 231 (94.81%)", "6009", "Topshop", "awin", "Updated"
"220 of 231 (95.24%)", "3482", "Triumph Online Shop", "awin", "Failed"
"221 of 231 (95.67%)", "3186", "UK Tights", "awin", "Updated"
"222 of 231 (96.10%)", "6227", "Vanmildert", "awin", "Failed"
"223 of 231 (96.54%)", "6279", "Very Exclusive", "awin", "Failed"
"224 of 231 (96.97%)", "5735", "Vitamin Planet", "awin", "Updated"
"225 of 231 (97.40%)", "3247", "Wahanda", "awin", "Updated"
"226 of 231 (97.84%)", "2419", "Wallis", "awin", "Updated"
"227 of 231 (98.27%)", "2290", "Windsmoor", "awin", "Updated"
"228 of 231 (98.70%)", "2685", "Wolford Online Boutique", "awin", "Updated"
"229 of 231 (99.13%)", "790", "Woolovers", "awin", "Updated"
"230 of 231 (99.57%)", "4992", "Woolovers (US)", "awin", "Updated"
"231 of 231 (100.00%)", "3356", "Zalando SE", "awin", "Failed"
