Number,"Post ID","Product ID",Affiliate,"Product Title",Brand,"Image URL",Description,Price,RRP,Link,Status
"24 of 5914 (0.41%)",12602,3100_720825202,awin,"Michael Kors MK5430 Sport stainless steel ladies watch, Rose Gold","House of Fraser",http://images.productserve.com/preview/0/3100/02/52/720825202.jpg,145.00,229.00,http://www.awin1.com/pclick.php?p=720825202&a=99908&m=3100,Updated
"25 of 5914 (0.42%)",12601,3100_722002398,awin,"Michael Kors MK4284 Runway Gold Tortoise Ladies Watch, Tortoiseshell","House of Fraser",http://images.productserve.com/preview/0/3100/98/23/722002398.jpg,229.00,0.00,http://www.awin1.com/pclick.php?p=722002398&a=99908&m=3100,Updated
"26 of 5914 (0.44%)",12600,3100_705084200,awin,"Michael Kors MK2284 Runway Rose Nude Leather Ladies Watch, Nude","House of Fraser",http://images.productserve.com/preview/0/3100/00/42/705084200.jpg,165.00,0.00,http://www.awin1.com/pclick.php?p=705084200&a=99908&m=3100,Updated
"27 of 5914 (0.46%)",12599,3100_703878395,awin,"Michael Kors MK2280 Parker Gold Blue Leather Ladies Watch, Navy","House of Fraser",http://images.productserve.com/preview/0/3100/95/83/703878395.jpg,229.00,0.00,http://www.awin1.com/pclick.php?p=703878395&a=99908&m=3100,Updated
"28 of 5914 (0.47%)",12598,3100_712430430,awin,"Michael Kors Jet set travel medium tote, Brown","House of Fraser",http://images.productserve.com/preview/0/3100/30/04/712430430.jpg,260.00,0.00,http://www.awin1.com/pclick.php?p=712430430&a=99908&m=3100,Updated
"29 of 5914 (0.49%)",12597,3100_712430424,awin,"Michael Kors Jet set travel medium tote bag, Navy","House of Fraser",http://images.productserve.com/preview/0/3100/24/04/712430424.jpg,260.00,0.00,http://www.awin1.com/pclick.php?p=712430424&a=99908&m=3100,Updated
"30 of 5914 (0.51%)",12596,3100_689870625,awin,"Michael Kors Jet set item tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/25/06/689870625.jpg,170.00,0.00,http://www.awin1.com/pclick.php?p=689870625&a=99908&m=3100,Updated
"31 of 5914 (0.52%)",12595,3100_712430412,awin,"Michael Kors Jet set chain tote, Brown","House of Fraser",http://images.productserve.com/preview/0/3100/12/04/712430412.jpg,220.00,0.00,http://www.awin1.com/pclick.php?p=712430412&a=99908&m=3100,Updated
"32 of 5914 (0.54%)",12594,3100_712430410,awin,"Michael Kors Hamilton large tote bag, Brown","House of Fraser",http://images.productserve.com/preview/0/3100/10/04/712430410.jpg,310.00,0.00,http://www.awin1.com/pclick.php?p=712430410&a=99908&m=3100,Updated
"33 of 5914 (0.56%)",12593,3100_702100379,awin,"Michael Kors Hamilton large tote bag, Blue","House of Fraser",http://images.productserve.com/preview/0/3100/79/03/702100379.jpg,310.00,0.00,http://www.awin1.com/pclick.php?p=702100379&a=99908&m=3100,Updated
"34 of 5914 (0.57%)",12592,3100_672678835,awin,"Michael Kors MK5556 Lexington Gold Ladies Bracelet Watch, Gold","House of Fraser",http://images.productserve.com/preview/0/3100/35/88/672678835.jpg,229.00,0.00,http://www.awin1.com/pclick.php?p=672678835&a=99908&m=3100,Updated
"35 of 5914 (0.59%)",12591,3100_673685261,awin,"Michael Kors MK5503 Bradshaw Rose Gold Ladies Watch, Rose Gold","House of Fraser",http://images.productserve.com/preview/0/3100/61/52/673685261.jpg,229.00,0.00,http://www.awin1.com/pclick.php?p=673685261&a=99908&m=3100,Updated
"36 of 5914 (0.61%)",12590,3100_650121125,awin,"Michael Kors MK5057 Ritz Silver and Gold Ladies Watch, Silver","House of Fraser",http://images.productserve.com/preview/0/3100/25/11/650121125.jpg,229.00,0.00,http://www.awin1.com/pclick.php?p=650121125&a=99908&m=3100,Updated
"37 of 5914 (0.63%)",12589,3100_676878379,awin,"Michael Kors MK3192 Darci Rose Gold Ladies Bracelet Watch, Rose Gold","House of Fraser",http://images.productserve.com/preview/0/3100/79/83/676878379.jpg,229.00,0.00,http://www.awin1.com/pclick.php?p=676878379&a=99908&m=3100,Updated
"38 of 5914 (0.64%)",12588,674180039,awin,"Michael Kors Mk3191 Darci Gold Ladies Bracelet Watch, Gold",,,,,,"Not Found"
"39 of 5914 (0.66%)",12587,674180037,awin,"Michael Kors Mk3190 Ladies Metals Watch, Silver",,,,,,"Not Found"
"40 of 5914 (0.68%)",12586,689720141,awin,"Michael Kors Jet Set Travel Small Ziptop Tote Bag, Brown",,,,,,"Not Found"
"41 of 5914 (0.69%)",12585,3100_611909615,awin,"Michael Kors Jet set large ziparound purse, Brown","House of Fraser",http://images.productserve.com/preview/0/3100/15/96/611909615.jpg,125.00,0.00,http://www.awin1.com/pclick.php?p=611909615&a=99908&m=3100,Updated
"42 of 5914 (0.71%)",12584,671399627,awin,"Michael Kors Jet Set Item Monogram Tote, Brown",,,,,,"Not Found"
"43 of 5914 (0.73%)",12583,3100_672390809,awin,"Michael Kors Bedford shoulder bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/09/08/672390809.jpg,330.00,0.00,http://www.awin1.com/pclick.php?p=672390809&a=99908&m=3100,Updated
"44 of 5914 (0.74%)",12582,3285767191,awin,"Michael Kors 0mk6006 square Sunglasses",,,,,,"Not Found"
"45 of 5914 (0.76%)",12581,3064971043,awin,"Vero Moda Petite Belted Trench Coat - Brown",,,,,,"Not Found"
"46 of 5914 (0.78%)",12580,3177638825,awin,"Petite 28in Blue Authentic Acid Wash Skinny Jeans",,,,,,"Not Found"
"47 of 5914 (0.79%)",12579,3222347697,awin,"Wallis Petite Mint Biker Jacket, Mint",,,,,,"Not Found"
"48 of 5914 (0.81%)",12573,3100_3153163109,awin,"Viyella Petite Floral Crinkle Dress, Indigo","House of Fraser",http://images.productserve.com/preview/0/3100/09/31/3153163109.jpg,119.00,0.00,http://www.awin1.com/pclick.php?p=3153163109&a=99908&m=3100,Updated
"49 of 5914 (0.83%)",12572,3295477195,awin,"Dash Straight Leg Petite Trouser, White",,,,,,"Not Found"
"50 of 5914 (0.85%)",12571,3297011827,awin,"Jacques Vert Petite Blurred Floral Dress, Light Pink",,,,,,"Not Found"
"51 of 5914 (0.86%)",12570,3100_3241069341,awin,"Jacques Vert Petite Corded Lace Dress, Light Pink","House of Fraser",http://images.productserve.com/preview/0/3100/41/93/3241069341.jpg,199.00,0.00,http://www.awin1.com/pclick.php?p=3241069341&a=99908&m=3100,Updated
"52 of 5914 (0.88%)",12569,3100_3301098105,awin,"CC Petite Tailored Shift Dress, Pink","House of Fraser",http://images.productserve.com/preview/0/3100/05/81/3301098105.jpg,159.00,0.00,http://www.awin1.com/pclick.php?p=3301098105&a=99908&m=3100,Updated
"53 of 5914 (0.90%)",12568,3297016311,awin,"Cc Petite Sheer Detail Floral Dress, Multi-coloured",,,,,,"Not Found"
"54 of 5914 (0.91%)",12567,3100_3305783139,awin,"CC Petite Embellished Blouse, Coral","House of Fraser",http://images.productserve.com/preview/0/3100/39/31/3305783139.jpg,99.90,0.00,http://www.awin1.com/pclick.php?p=3305783139&a=99908&m=3100,Updated
"55 of 5914 (0.93%)",12566,3100_3182897631,awin,"CC Petite Midnight Blue Straight Leg Jeans, Navy","House of Fraser",http://images.productserve.com/preview/0/3100/31/76/3182897631.jpg,69.90,0.00,http://www.awin1.com/pclick.php?p=3182897631&a=99908&m=3100,Updated
"56 of 5914 (0.95%)",12565,3100_3204981847,awin,"CC Petite 3/4 Sleeve V Neck Top, Pink","House of Fraser",http://images.productserve.com/preview/0/3100/47/18/3204981847.jpg,29.90,0.00,http://www.awin1.com/pclick.php?p=3204981847&a=99908&m=3100,Updated
"57 of 5914 (0.96%)",12564,3100_3054995575,awin,"CC Petite embroidered square stripe jersey, Natural","House of Fraser",http://images.productserve.com/preview/0/3100/75/55/3054995575.jpg,49.90,0.00,http://www.awin1.com/pclick.php?p=3054995575&a=99908&m=3100,Updated
"58 of 5914 (0.98%)",12563,1831_3239314097,awin,"Womens Wallis Petite Grey Drape Jacket, grey",Bhs,http://images.productserve.com/preview/1/1831/97/40/3239314097.jpg,33.00,0.00,http://www.awin1.com/pclick.php?p=3239314097&a=99908&m=1831,Updated
"59 of 5914 (1.00%)",12562,1831_3244771771,awin,"Womens Wallis Petite Coral Crepe Jacket, coral",Bhs,http://images.productserve.com/preview/1/1831/71/17/3244771771.jpg,33.00,0.00,http://www.awin1.com/pclick.php?p=3244771771&a=99908&m=1831,Updated
"60 of 5914 (1.01%)",12561,1203_3243727409,awin,"Jacques Vert Petite Edge to Edge Jacket, Light Pink","John Lewis",http://images.productserve.com/preview/3/1203/09/74/3243727409.jpg,119.20,119.20,http://www.awin1.com/pclick.php?p=3243727409&a=99908&m=1203,Updated
"61 of 5914 (1.03%)",12560,3100_3305783115,awin,"CC Petite Notch Collar Jacket, Pink","House of Fraser",http://images.productserve.com/preview/0/3100/15/31/3305783115.jpg,159.00,0.00,http://www.awin1.com/pclick.php?p=3305783115&a=99908&m=3100,Updated
"62 of 5914 (1.05%)",12559,3100_3305782955,awin,"CC Petite Cotton Biker Jacket, Stone","House of Fraser",http://images.productserve.com/preview/0/3100/55/29/3305782955.jpg,99.90,0.00,http://www.awin1.com/pclick.php?p=3305782955&a=99908&m=3100,Updated
"63 of 5914 (1.07%)",12555,3100_3217478059,awin,"DKNY Saffiano tan tote bag, Tan","House of Fraser",http://images.productserve.com/preview/0/3100/59/80/3217478059.jpg,190.00,0.00,http://www.awin1.com/pclick.php?p=3217478059&a=99908&m=3100,Updated
"64 of 5914 (1.08%)",12554,3100_3213387425,awin,"DKNY Saffiano tan large double zip tote bag, Tan","House of Fraser",http://images.productserve.com/preview/0/3100/25/74/3213387425.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3213387425&a=99908&m=3100,Updated
"65 of 5914 (1.10%)",12553,3100_3207811137,awin,"DKNY Saffiano orange tote bag, Orange","House of Fraser",http://images.productserve.com/preview/0/3100/37/11/3207811137.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3207811137&a=99908&m=3100,Updated
"66 of 5914 (1.12%)",12552,3100_3213387433,awin,"DKNY Saffiano neutral tote bag, Neutral","House of Fraser",http://images.productserve.com/preview/0/3100/33/74/3213387433.jpg,190.00,0.00,http://www.awin1.com/pclick.php?p=3213387433&a=99908&m=3100,Updated
"67 of 5914 (1.13%)",12551,3100_3204981771,awin,"DKNY Saffiano neutral tote bag with pocket, Neutral","House of Fraser",http://images.productserve.com/preview/0/3100/71/17/3204981771.jpg,219.00,0.00,http://www.awin1.com/pclick.php?p=3204981771&a=99908&m=3100,Updated
"68 of 5914 (1.15%)",12550,3100_3204981773,awin,"DKNY Saffiano black medium tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/73/17/3204981773.jpg,169.00,0.00,http://www.awin1.com/pclick.php?p=3204981773&a=99908&m=3100,Updated
"69 of 5914 (1.17%)",12549,3100_3213387423,awin,"DKNY Saffiano black large double zip tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/23/74/3213387423.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3213387423&a=99908&m=3100,Updated
"70 of 5914 (1.18%)",12548,3100_3213387283,awin,"DKNY Quilted nappa neutral medium tote bag, Neutral","House of Fraser",http://images.productserve.com/preview/0/3100/83/72/3213387283.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3213387283&a=99908&m=3100,Updated
"71 of 5914 (1.20%)",12547,3213388037,awin,"Dkny Pebble Black Tote Bag, Black",,,,,,"Not Found"
"72 of 5914 (1.22%)",12546,3207811129,awin,"Dkny Greenwich Tan Tote Bag, Tan",,,,,,"Not Found"
"73 of 5914 (1.23%)",12545,3100_3207811133,awin,"DKNY Greenwich black tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/33/11/3207811133.jpg,215.00,0.00,http://www.awin1.com/pclick.php?p=3207811133&a=99908&m=3100,Updated
"74 of 5914 (1.25%)",12544,3200412489,awin,"Dkny French Grain Neutral Large Chain Cross Body Bag, Neutral",,,,,,"Not Found"
"75 of 5914 (1.27%)",12543,3198675103,awin,"Dkny French Grain Black Large Chain Cross Body Bag, Black",,,,,,"Not Found"
"76 of 5914 (1.29%)",12542,3100_3213388011,awin,"DKNY Embossed patent street tan tote bag, Tan","House of Fraser",http://images.productserve.com/preview/0/3100/11/80/3213388011.jpg,85.00,0.00,http://www.awin1.com/pclick.php?p=3213388011&a=99908&m=3100,Updated
"77 of 5914 (1.30%)",12541,3100_3213388029,awin,"DKNY Embossed patent street black tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/29/80/3213388029.jpg,85.00,0.00,http://www.awin1.com/pclick.php?p=3213388029&a=99908&m=3100,Updated
