Number|"Post ID"|"Product ID"|Affiliate|"Product Title"|Brand|"Image URL"|Price|RRP|Link|Status
"1 of 5914 (0.02%)"|12653|3179953883|awin|"Asos Petite Exclusive Premium Aztec Embellished Midi Dress - Multi"||||||"Not Found"
"2 of 5914 (0.03%)"|12630|903000061250|linkshare|"Floral Embroidered Dress"||||||"Not Found"
"3 of 5914 (0.05%)"|12629|903000060777|linkshare|"Crepe Shift Dress"||||||"Not Found"
"4 of 5914 (0.07%)"|12625|3246277183|awin|"Asos Petite Blouse - Rust"||||||"Not Found"
"5 of 5914 (0.08%)"|12623|3179954503|awin|"Asos Petite Pleated Midi Culottes – Chartreuse"||||||"Not Found"
"6 of 5914 (0.10%)"|12622|3212004497|awin|"Printed Crêpe Blouse, Petite Length"||||||"Not Found"
"7 of 5914 (0.12%)"|12621|3184867739|awin|"Radley Millibank Medium Tote Bag, Tan"||||||"Not Found"
"8 of 5914 (0.14%)"|12620|3184867727|awin|"Radley De Beauvoir Pink Large Tote Bag, Pink"||||||"Not Found"
"9 of 5914 (0.15%)"|12619|3184867731|awin|"Radley De Beauvoir Navy Large Tote Bag, Navy"||||||"Not Found"
"10 of 5914 (0.17%)"|12618|3182895689|awin|"Radley De Beauvoir Grey Large Tote Bag, Grey"||||||"Not Found"
"11 of 5914 (0.19%)"|12617|3192197395|awin|"Label Lab Kiri Tote Bag, Multi-coloured"||||||"Not Found"
"12 of 5914 (0.20%)"|12616|3191832625|awin|"Label Lab Kiri Tote Bag, Cobalt"||||||"Not Found"
"13 of 5914 (0.22%)"|12615|3191409465|awin|"Label Lab Kiri Tote Bag, Black"||||||"Not Found"
"14 of 5914 (0.24%)"|12614|3096714123|awin|"L.k. Bennett Rosamund Medium Roll Bag, Clay"||||||"Not Found"
"15 of 5914 (0.25%)"|12613|3220632447|awin|"L.k. Bennett Lizzie Lazer Cut Tote, White"||||||"Not Found"
"16 of 5914 (0.27%)"|12612|3220632441|awin|"L.k. Bennett Lauren Tote Bag, Grey"||||||"Not Found"
"17 of 5914 (0.29%)"|12611|3220632431|awin|"L.k. Bennett Lauren Tote Bag, Black"||||||"Not Found"
"18 of 5914 (0.30%)"|12610|3226272653|awin|"L.k. Bennett Kelsey Perforated Tote Bag, Yellow"||||||"Not Found"
"19 of 5914 (0.32%)"|12609|3220632455|awin|"L.k. Bennett Kelsey Perforated Tote Bag, White"||||||"Not Found"
"20 of 5914 (0.34%)"|12608|3192197683|awin|"L.k. Bennett Julia Medium Zipped Tote Bag, Light Pink"||||||"Not Found"
"21 of 5914 (0.36%)"|12607|3275747485|awin|"Cc Palm Leaf Canvas Tote Bag, Black"||||||"Not Found"
"22 of 5914 (0.37%)"|12604|712430456|awin|"Michael Kors Selma Tote, Tan"||||||"Not Found"
"23 of 5914 (0.39%)"|12603|712430458|awin|"Michael Kors Selma Orange Red Tote Bag, Red"||||||"Not Found"
"24 of 5914 (0.41%)"|12602|720825202|awin|"Michael Kors Mk5430 Sport Stainless Steel Ladies Watch, Rose Gold"||||||"Not Found"
"25 of 5914 (0.42%)"|12601|722002398|awin|"Michael Kors Mk4284 Runway Gold Tortoise Ladies Watch, Tortoiseshell"||||||"Not Found"
"26 of 5914 (0.44%)"|12600|705084200|awin|"Michael Kors Mk2284 Runway Rose Nude Leather Ladies Watch, Nude"||||||"Not Found"
"27 of 5914 (0.46%)"|12599|703878395|awin|"Michael Kors Mk2280 Parker Gold Blue Leather Ladies Watch, Navy"||||||"Not Found"
"28 of 5914 (0.47%)"|12598|712430430|awin|"Michael Kors Jet Set Travel Medium Tote, Brown"||||||"Not Found"
"29 of 5914 (0.49%)"|12597|712430424|awin|"Michael Kors Jet Set Travel Medium Tote Bag, Navy"||||||"Not Found"
"30 of 5914 (0.51%)"|12596|689870625|awin|"Michael Kors Jet Set Item Tote Bag, Black"||||||"Not Found"
"31 of 5914 (0.52%)"|12595|712430412|awin|"Michael Kors Jet Set Chain Tote, Brown"||||||"Not Found"
"32 of 5914 (0.54%)"|12594|712430410|awin|"Michael Kors Hamilton Large Tote Bag, Brown"||||||"Not Found"
"33 of 5914 (0.56%)"|12593|702100379|awin|"Michael Kors Hamilton Large Tote Bag, Blue"||||||"Not Found"
"34 of 5914 (0.57%)"|12592|672678835|awin|"Michael Kors Mk5556 Lexington Gold Ladies Bracelet Watch, Gold"||||||"Not Found"
"35 of 5914 (0.59%)"|12591|673685261|awin|"Michael Kors Mk5503 Bradshaw Rose Gold Ladies Watch, Rose Gold"||||||"Not Found"
"36 of 5914 (0.61%)"|12590|650121125|awin|"Michael Kors Mk5057 Ritz Silver And Gold Ladies Watch, Silver"||||||"Not Found"
"37 of 5914 (0.63%)"|12589|676878379|awin|"Michael Kors Mk3192 Darci Rose Gold Ladies Bracelet Watch, Rose Gold"||||||"Not Found"
"38 of 5914 (0.64%)"|12588|674180039|awin|"Michael Kors Mk3191 Darci Gold Ladies Bracelet Watch, Gold"||||||"Not Found"
"39 of 5914 (0.66%)"|12587|674180037|awin|"Michael Kors Mk3190 Ladies Metals Watch, Silver"||||||"Not Found"
"40 of 5914 (0.68%)"|12586|689720141|awin|"Michael Kors Jet Set Travel Small Ziptop Tote Bag, Brown"||||||"Not Found"
"41 of 5914 (0.69%)"|12585|611909615|awin|"Michael Kors Jet Set Large Ziparound Purse, Brown"||||||"Not Found"
"42 of 5914 (0.71%)"|12584|671399627|awin|"Michael Kors Jet Set Item Monogram Tote, Brown"||||||"Not Found"
"43 of 5914 (0.73%)"|12583|672390809|awin|"Michael Kors Bedford Shoulder Bag, Black"||||||"Not Found"
"44 of 5914 (0.74%)"|12582|3285767191|awin|"Michael Kors 0mk6006 square Sunglasses"||||||"Not Found"
"45 of 5914 (0.76%)"|12581|3064971043|awin|"Vero Moda Petite Belted Trench Coat - Brown"||||||"Not Found"
"46 of 5914 (0.78%)"|12580|3177638825|awin|"Petite 28in Blue Authentic Acid Wash Skinny Jeans"||||||"Not Found"
"47 of 5914 (0.79%)"|12579|3222347697|awin|"Wallis Petite Mint Biker Jacket, Mint"||||||"Not Found"
"48 of 5914 (0.81%)"|12573|3153163109|awin|"Viyella Petite Floral Crinkle Dress, Indigo"||||||"Not Found"
"49 of 5914 (0.83%)"|12572|3295477195|awin|"Dash Straight Leg Petite Trouser, White"||||||"Not Found"
"50 of 5914 (0.85%)"|12571|3297011827|awin|"Jacques Vert Petite Blurred Floral Dress, Light Pink"||||||"Not Found"
"51 of 5914 (0.86%)"|12570|3241069341|awin|"Jacques Vert Petite Corded Lace Dress, Light Pink"||||||"Not Found"
"52 of 5914 (0.88%)"|12569|3301098105|awin|"Cc Petite Tailored Shift Dress, Pink"||||||"Not Found"
"53 of 5914 (0.90%)"|12568|3297016311|awin|"Cc Petite Sheer Detail Floral Dress, Multi-coloured"||||||"Not Found"
"54 of 5914 (0.91%)"|12567|3305783139|awin|"Cc Petite Embellished Blouse, Coral"||||||"Not Found"
"55 of 5914 (0.93%)"|12566|3182897631|awin|"Cc Petite Midnight Blue Straight Leg Jeans, Navy"||||||"Not Found"
"56 of 5914 (0.95%)"|12565|3204981847|awin|"Cc Petite 3/4 Sleeve V Neck Top, Pink"||||||"Not Found"
"57 of 5914 (0.96%)"|12564|3054995575|awin|"Cc Petite Embroidered Square Stripe Jersey, Natural"||||||"Not Found"
"58 of 5914 (0.98%)"|12563|3239314097|awin|"Wallis Petite Grey Drape Jacket, Grey"||||||"Not Found"
"59 of 5914 (1.00%)"|12562|3244771771|awin|"Wallis Petite Coral Crepe Jacket, Coral"||||||"Not Found"
